cotacaoCompra,cotacaoVenda,dataHoraCotacao
"5,162","5,1626",2021-01-04 13:07:33.461
"5,3263","5,3269",2021-01-05 13:11:14.045
"5,3176","5,3182",2021-01-06 13:12:28.251
"5,3427","5,3433",2021-01-07 13:11:33.564
"5,3677","5,3683",2021-01-08 13:08:31.586
"5,496","5,4966",2021-01-11 13:03:59.427
"5,4631","5,4637",2021-01-12 13:07:38.023
"5,3064","5,307",2021-01-13 13:03:31.966
"5,2611","5,2617",2021-01-14 13:05:07.348
"5,2708","5,2714",2021-01-15 13:02:58.513
"5,2782","5,2788",2021-01-18 13:10:06.899
"5,2939","5,2945",2021-01-19 13:06:50.916
"5,3027","5,3033",2021-01-20 13:07:06.979
"5,316","5,3166",2021-01-21 13:06:33.298
"5,4295","5,4301",2021-01-22 13:03:37.619
"5,5074","5,5089",2021-01-25 13:08:46.239
"5,3859","5,3865",2021-01-26 13:02:34.963
"5,3818","5,3824",2021-01-27 13:04:21.326
"5,4276","5,4282",2021-01-28 13:04:39.485
"5,4753","5,4759",2021-01-29 13:04:37.004
"5,4602","5,4608",2021-02-01 13:08:36.919
"5,3869","5,3875",2021-02-02 13:05:57.49
"5,3417","5,3423",2021-02-03 13:10:45.471
"5,3904","5,391",2021-02-04 13:10:25.186
"5,3878","5,3884",2021-02-05 13:10:53.963
"5,3664","5,367",2021-02-08 13:05:38.857
"5,421","5,4216",2021-02-09 13:12:05.416
"5,4018","5,4024",2021-02-10 13:08:47.187
"5,362","5,3626",2021-02-11 13:03:46.675
"5,3809","5,3815",2021-02-12 13:03:15.684
"5,4132","5,4138",2021-02-17 15:35:16.801
"5,4232","5,4238",2021-02-18 13:03:28.684
"5,3918","5,3924",2021-02-19 13:03:33.813
"5,5038","5,5044",2021-02-22 13:05:46.255
"5,4484","5,449",2021-02-23 13:05:50.893
"5,4176","5,4182",2021-02-24 13:05:50.381
"5,4594","5,46",2021-02-25 13:09:32.447
"5,5296","5,5302",2021-02-26 13:09:49.072
"5,5826","5,5832",2021-03-01 13:02:42.218
"5,6838","5,6844",2021-03-02 13:02:31.88
"5,7336","5,7342",2021-03-03 13:03:05.72
"5,6002","5,6008",2021-03-04 13:03:41.479
"5,6864","5,687",2021-03-05 13:03:41.762
"5,7337","5,7343",2021-03-08 13:09:22.896
"5,8391","5,8397",2021-03-09 13:02:18.867
"5,7443","5,7449",2021-03-10 13:03:03.679
"5,5884","5,589",2021-03-11 13:09:41.81
"5,5634","5,564",2021-03-12 13:10:24.5
"5,629","5,6296",2021-03-15 13:09:02.239
"5,5845","5,5851",2021-03-16 13:04:13.803
"5,6573","5,6579",2021-03-17 13:05:58.239
"5,5468","5,5474",2021-03-18 13:12:47.373
"5,5076","5,5082",2021-03-19 13:04:01.59
"5,5263","5,5269",2021-03-22 13:09:34.907
"5,4945","5,4951",2021-03-23 13:04:27.849
"5,5324","5,533",2021-03-24 13:06:00.477
"5,6579","5,6585",2021-03-25 13:08:58.765
"5,7036","5,7042",2021-03-26 13:02:36.682
"5,7919","5,7925",2021-03-29 13:05:47.32
"5,7636","5,7642",2021-03-30 13:10:22.8
"5,6967","5,6973",2021-03-31 13:08:42.02
"5,6843","5,6849",2021-04-01 13:06:02.403
"5,6573","5,6579",2021-04-05 13:07:29.588
"5,6257","5,6263",2021-04-06 13:11:23.453
"5,5858","5,5864",2021-04-07 13:09:02.766
"5,5811","5,5817",2021-04-08 13:07:48.5
"5,6439","5,6445",2021-04-09 13:03:10.778
"5,6576","5,6582",2021-04-12 13:10:02.238
"5,7058","5,7064",2021-04-13 13:03:20.796
"5,693","5,6936",2021-04-14 13:09:37.448
"5,6228","5,6234",2021-04-15 13:05:23.315
"5,6322","5,6328",2021-04-16 13:09:30.217
"5,5744","5,575",2021-04-19 13:05:28.504
"5,526","5,5266",2021-04-20 13:08:50.498
"5,4964","5,497",2021-04-22 13:05:28.343
"5,4781","5,4787",2021-04-23 13:09:33.759
"5,456","5,4566",2021-04-26 13:08:23.898
"5,4418","5,4424",2021-04-27 13:11:50.036
"5,3999","5,4005",2021-04-28 13:06:50.637
"5,3656","5,3662",2021-04-29 13:09:45.55
"5,403","5,4036",2021-04-30 13:11:25.66
"5,4081","5,4087",2021-05-03 13:08:02.769
"5,4499","5,4505",2021-05-04 13:03:40.588
"5,3866","5,3872",2021-05-05 13:02:35.001
"5,2891","5,2897",2021-05-06 13:06:38.065
"5,2211","5,2217",2021-05-07 13:02:46.693
"5,2221","5,2227",2021-05-10 13:09:31.711
"5,2397","5,2403",2021-05-11 13:07:53.048
"5,2347","5,2353",2021-05-12 13:05:50.389
"5,2809","5,2815",2021-05-13 13:03:00.191
"5,2695","5,2701",2021-05-14 13:03:03.149
"5,2749","5,2755",2021-05-17 13:07:28.963
"5,2582","5,2588",2021-05-18 13:06:44.978
"5,2816","5,2822",2021-05-19 13:10:26.529
"5,2899","5,2905",2021-05-20 13:06:37.39
"5,3021","5,3027",2021-05-21 13:11:21.274
"5,3192","5,3198",2021-05-24 13:07:26.965
"5,3137","5,3143",2021-05-25 13:09:30.329
"5,3158","5,3164",2021-05-26 13:05:31.717
"5,2833","5,284",2021-05-27 13:11:43.04
"5,2274","5,2281",2021-05-28 13:02:48.472
"5,2316","5,2322",2021-05-31 13:05:18.893
"5,163","5,1636",2021-06-01 13:06:30.264
"5,114","5,1147",2021-06-02 13:07:32.55
"5,0661","5,0666",2021-06-04 13:06:33.737
"5,0492","5,0498",2021-06-07 13:11:52.185
"5,0483","5,0489",2021-06-08 14:01:39.931
"5,0527","5,0533",2021-06-09 13:10:42.62
"5,0629","5,0635",2021-06-10 13:09:29.811
"5,1184","5,119",2021-06-11 13:02:27.961
